GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
market,com.cosmocats.market.mapper,ProductMapperImpl,4,91,2,2,2,31,2,3,0,3
market,com.cosmocats.market.validation,CosmicWordCheckValidator,2,25,1,1,0,5,1,3,0,3
market,com.cosmocats.market,CosmoCatsApplication,5,3,0,0,2,1,1,1,1,1
market,com.cosmocats.market.repository,ProductRepository,26,36,3,1,3,6,5,2,3,2
market,com.cosmocats.market.service,ProductService,0,82,0,0,0,18,0,8,0,8
market,com.cosmocats.market.domain,Order,12,0,0,0,1,0,1,0,1,0
market,com.cosmocats.market.domain,Cart,9,0,0,0,1,0,1,0,1,0
market,com.cosmocats.market.domain,Category,9,0,0,0,1,0,1,0,1,0
market,com.cosmocats.market.domain,Product,0,21,0,0,0,1,0,1,0,1
market,com.cosmocats.market.dto,CategoryDto,9,0,0,0,1,0,1,0,1,0
market,com.cosmocats.market.dto,ProductDto,0,21,0,0,0,1,0,1,0,1
market,com.cosmocats.market.web,ProductController,0,58,0,0,0,10,0,6,0,6
market,com.cosmocats.market.web,ErrorHandler,40,54,0,0,12,15,3,4,3,4
